location	listing_type	listing_id
dtdistrict15	rent	listing_1
dtdistrict03	rent	listing_10
dtdistrict09	rent	listing_100
dtdistrict12	rent	listing_1000
dtdistrict14	room	listing_1001
dtdistrict19	rent	listing_1002
dtdistrict15	sale	listing_1003
dtdistrict08	rent	listing_1004
dtdistrict15	rent	listing_1005
dtdistrict20	room	listing_1006
dtdistrict10	rent	listing_1007
dtdistrict05	rent	listing_1008
dtdistrict09	rent	listing_1009
dtdistrict09	rent	listing_101
dtdistrict22	rent	listing_1010
dtdistrict19	rent	listing_1011
dtdistrict28	rent	listing_1012
dtdistrict07	rent	listing_1013
dtdistrict22	rent	listing_1014
dtdistrict22	rent	listing_1015
dtdistrict03	rent	listing_1016
dtdistrict14	rent	listing_1017
dtdistrict22	rent	listing_1018
dtdistrict03	room	listing_1019
dtdistrict05	rent	listing_102
dtdistrict14	rent	listing_1020
dtdistrict28	sale	listing_1021
dtdistrict15	rent	listing_1022
dtdistrict14	rent	listing_1023
dtdistrict12	rent	listing_1024
dtdistrict21	rent	listing_1025
dtdistrict11	room	listing_1026
dtdistrict21	rent	listing_1027
dtdistrict09	rent	listing_1028
dtdistrict23	rent	listing_1029
dtdistrict23	rent	listing_103
dtdistrict03	rent	listing_1030
dtdistrict03	room	listing_1031
dtdistrict07	rent	listing_1032
dtdistrict08	rent	listing_1033
dtdistrict05	rent	listing_1034
dtdistrict08	rent	listing_1035
dtdistrict03	rent	listing_1036
dtdistrict03	rent	listing_1037
dtdistrict17	rent	listing_1038
dtdistrict07	rent	listing_1039
dtdistrict22	rent	listing_104
dtdistrict09	rent	listing_1040
dtdistrict14	rent	listing_1041
dtdistrict14	rent	listing_1042
dtdistrict03	rent	listing_1043
dtdistrict07	rent	listing_1044
dtdistrict21	room	listing_1045
dtdistrict09	rent	listing_1046
dtdistrict04	rent	listing_1047
dtdistrict16	rent	listing_1048
dtdistrict22	rent	listing_1049
dtdistrict08	sale	listing_105
dtdistrict04	rent	listing_1050
dtdistrict08	sale	listing_1051
dtdistrict23	sale	listing_1052
dtdistrict15	rent	listing_1053
dtdistrict03	rent	listing_1054
dtdistrict10	rent	listing_1055
dtdistrict15	sale	listing_1056
dtdistrict11	rent	listing_1057
dtdistrict02	rent	listing_1058
dtdistrict19	rent	listing_1059
dtdistrict19	rent	listing_106
dtdistrict11	rent	listing_1060
dtdistrict15	room	listing_1061
dtdistrict03	rent	listing_1062
dtdistrict03	rent	listing_1063
dtdistrict02	rent	listing_1064
dtdistrict22	rent	listing_1065
dtdistrict10	rent	listing_1066
dtdistrict03	rent	listing_1067
dtdistrict02	rent	listing_1068
dtdistrict05	sale	listing_1069
dtdistrict19	rent	listing_107
dtdistrict08	room	listing_1070
dtdistrict09	rent	listing_1071
dtdistrict05	room	listing_1072
dtdistrict17	sale	listing_1073
dtdistrict09	rent	listing_1074
dtdistrict19	rent	listing_1075
dtdistrict09	rent	listing_1076
dtdistrict11	rent	listing_1077
dtdistrict09	rent	listing_1078
dtdistrict12	rent	listing_1079
dtdistrict14	rent	listing_108
