search_time	search_id	listing_type	property_type	search_location	search_price_min	search_price_max	platform	user_id
2018-07-01 0:28:18	1	rent	condo	dtdistrict15,dtdistrict16,dtdistrict18	2000	4000	web	u1386
2018-07-01 0:28:19	2	rent	condo	dtdistrict15,dtdistrict16,dtdistrict18	2000	4000	web	u1386
2018-07-01 0:31:56	3	rent	condo	dtdistrict15,dtdistrict16,dtdistrict18	2000	4000	web	u1386
2018-07-01 0:31:57	4	rent	condo	dtdistrict15,dtdistrict16,dtdistrict18	2000	4000	web	u1386
2018-07-01 0:34:37	5	rent	condo	dtdistrict15,dtdistrict16,dtdistrict18	2000	4000	web	u1386
2018-07-01 0:47:46	6	sale		dtdistrict09,dtdistrict11,dtdistrict10		3700000	web	u328
2018-07-01 0:48:13	7	sale		dtdistrict09,dtdistrict11,dtdistrict10		3700000	web	u328
2018-07-01 0:48:46	8	sale		dtdistrict09,dtdistrict11,dtdistrict10		3700000	web	u328
2018-07-01 1:18:48	9	room		dtdistrict12		1000	web	u1604
2018-07-01 1:18:48	10	room	hdb	dtdistrict12		1000	web	u1604
2018-07-01 1:26:51	11	rent	condo	dtdistrict05	2000		web	u1696
2018-07-01 1:26:54	12	rent	condo	dtdistrict05	2000	3000	web	u1696
2018-07-01 1:26:59	13	sale		dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict12,dtdistrict15,dtdistrict21		500000	web	u554
2018-07-01 1:26:59	14	rent	condo	dtdistrict05	2000	3000	web	u1696
2018-07-01 1:27:03	15	sale	hdb	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict12,dtdistrict15,dtdistrict21		500000	web	u554
2018-07-01 1:27:10	16	sale	hdb	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict12,dtdistrict15,dtdistrict21		500000	web	u554
2018-07-01 1:27:15	17	sale	hdb	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict12,dtdistrict15,dtdistrict21		500000	web	u554
2018-07-01 1:27:18	18	sale	hdb	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict12,dtdistrict15,dtdistrict21		500000	web	u554
2018-07-01 1:27:19	19	sale	hdb	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict12,dtdistrict15,dtdistrict21		500000	web	u554
2018-07-01 1:27:20	20	sale	hdb	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict12,dtdistrict15,dtdistrict21		500000	web	u554
2018-07-01 1:28:48	21	sale	hdb	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict12,dtdistrict15,dtdistrict21		500000	web	u554
2018-07-01 1:28:48	22	rent	condo	dtdistrict05	2000	3000	web	u1696
2018-07-01 1:35:41	23	rent	condo	dtdistrict05	2000	3000	web	u1696
2018-07-01 1:36:36	24	rent	condo	dtdistrict05	2000	3000	web	u1696
2018-07-01 1:36:51	25	sale	hdb	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict12,dtdistrict15,dtdistrict21		500000	web	u554
2018-07-01 1:36:55	26	rent	condo	dtdistrict05	2000	3000	web	u1696
2018-07-01 1:38:35	27	sale	hdb	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict12,dtdistrict15,dtdistrict21		500000	web	u554
2018-07-01 1:39:13	28	sale	hdb	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict12,dtdistrict15,dtdistrict21		500000	web	u554
2018-07-01 1:40:49	29	sale	hdb	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict12,dtdistrict15,dtdistrict21		500000	web	u554
